time,quat_w,quat_x,quat_y,quat_z,x,y,z,Aileron,Elevator,Mode,Rudder,Throttle,phi_deg,theta_deg,x_s,y_s,z_s,vx,vy,vz,speed_xy,speed_3d,chi_deg,seg_id
15.02914831,0.144884959,-0.07242901,0.023372401,0.986517165,7.675458984,2.446322998,3.53152002,0.0,0.21,-1.0,0.0,0.428,1.4562191784467384,8.608240121331752,7.675899655226127,2.4464260214662077,3.530858133818192,-4.141775083845117,1.5833676161680355,-0.3058100885635679,4.434112521473702,4.444645504802057,159.07854299706793,1
15.03881998,0.143800184,-0.072084446,0.022519502,0.986720938,7.633255371,2.462445313,3.528272461,0.0,0.21,-1.0,0.0,0.428,1.373860119110347,8.553398053393535,7.63364377311657,2.4624947451515227,3.52791034976691,-4.197460322406112,1.5942529035088746,-0.302244834425228,4.49002399531674,4.50018526490375,159.20253728408952,1
15.04896971,0.145601031,-0.070482976,0.02811408,0.986428956,7.591844238,2.478597412,3.524564697,0.0,0.21,-1.0,0.0,0.428,2.024412587246896,8.467001215991509,7.591293554890463,2.4785229921142267,3.525041958664345,-4.247207331792943,1.6016919104424254,-0.29975543743274924,4.53918352737719,4.549070280560956,159.3377136077529,1
15.06022339,0.144435151,-0.069685665,0.026571507,0.986699727,7.548893066,2.494529785,3.522011719,0.0,0.21,-1.0,0.0,0.428,1.8711591232204536,8.34847711180642,7.548797411039646,2.494464532606069,3.5222691943986115,-4.285062626065116,1.60420491675776,-0.2941892368726143,4.575503810975338,4.584951737078759,159.47553682458167,1
15.07021327,0.143907474,-0.069540698,0.024712603,0.986835357,7.506125977,2.510357178,3.519474121,0.0,0.21,-1.0,0.0,0.408,1.6654871779587344,8.30039917814856,7.506209518184169,2.510343632920754,3.5193453634708725,-4.33704584314713,1.6130737733765297,-0.2884677783768141,4.62730738593353,4.636290252246579,159.59836498547637,1
15.0788952,0.142690641,-0.067823395,0.024235839,0.987143348,7.463547852,2.526117188,3.516697754,0.0,0.21,-1.0,0.0,0.408,1.6491858247468278,8.095257304775563,7.463588778449902,2.5261948511328756,3.5165483440023406,-4.330729427869665,1.6023075722038755,-0.28119231758973395,4.617640840662924,4.626194554148116,159.69625146311205,1
15.08892467,0.141023749,-0.062890038,0.022898932,0.987741255,7.42090625,2.542016846,3.513865967,0.0,0.21,-1.0,0.0,0.408,1.589380970969896,7.509857038843237,7.420934176503516,2.541927293456884,3.5135666347086345,-4.332414194460196,1.5938299122178121,-0.26368719752722947,4.616287094780873,4.623812007378781,159.8021914841264,1
15.09893326,0.141532954,-0.065953603,0.024123219,0.987439427,7.377433105,2.557575195,3.511797852,0.0,0.21,-1.0,0.0,0.408,1.675986358969193,7.878846127732821,7.377936257060625,2.5576241919463953,3.5110610120932497,-4.417737276275395,1.61455198141907,-0.2344011625987846,4.703528541733046,4.709365631157243,159.9241406749431,1
15.1090063,0.142454539,-0.064921204,0.02808458,0.987270577,7.334819336,2.573272461,3.508721436,0.0,0.21,-1.0,0.0,0.408,2.137921216234954,7.827503471883467,7.334918446706312,2.573334349764577,3.5090116517552543,-4.3963460681761894,1.5956698348062586,-0.1890462984794464,4.6769670698946415,4.68078620274924,160.05144949682332,1
15.11866849,0.143355162,-0.063154331,0.030994967,0.987167734,7.292370605,2.589095459,3.506247803,0.0,0.21,-1.0,0.0,0.408,2.491838159457014,7.6761931990007914,7.2917082306526995,2.5889930603683067,3.507225904128215,-4.336358343393223,1.5607799013172843,-0.13534963403522648,4.608691526091978,4.610678594969017,160.20473928306632,1
15.13024521,0.141067073,-0.061796077,0.026633084,0.987710486,7.248630371,2.604444824,3.504467773,0.0,0.21,-1.0,0.0,0.408,2.0330460457577524,7.445748605916192,7.248109909680671,2.6046283131002417,3.50612122809325,-4.397430650671384,1.5699075689236068,-0.08781145090867522,4.669261836996056,4.670087467418408,160.35314855542867,1
15.13893934,0.140110749,-0.037871391,0.018281023,0.989242403,7.203616699,2.620337646,3.506666992,0.0,0.21,-1.0,0.0,0.408,1.4691461734131428,4.591480436462325,7.204200533111907,2.6202460059417327,3.5055057199067696,-4.479173574713689,1.5882191903047245,-0.057122968350759126,4.752413713984254,4.752757004347982,160.4765816312041,1
15.1489966,0.140773185,-0.028834688,0.017727469,0.989463092,7.160324707,2.635916016,3.505906738,0.0,0.21,-1.0,0.0,0.408,1.5480402659423842,3.557650542052388,7.1600090529440745,2.635849416946395,3.5052021613916184,-4.505578857584814,1.5866515487408142,-0.04541366806695328,4.776788039994751,4.777003912525528,160.60014971794425,1
15.15984412,0.140840678,-0.03106995,0.036221276,0.988881483,7.115933105,2.651233398,3.504309082,0.0,0.21,-1.0,0.0,0.408,3.6147429405825706,4.108869778529604,7.1156436056993195,2.6513886233356723,3.5050454338018744,-4.516747989313978,1.580976297512398,-0.04792255111160253,4.785446525902037,4.785686473555588,160.70865983160857,1
15.16891409,0.144022163,-0.022623657,0.057956551,0.987616742,7.070814453,2.666890381,3.505447266,0.0,0.21,-1.0,0.0,0.408,6.209550053496604,3.519087830734411,7.071252491286732,2.666860134634041,3.5046828315384713,-4.521760375147186,1.5758701666990316,-0.06616188334579916,4.788494927693174,4.788951980063187,160.78613968248231,1
15.17882573,0.143890052,-0.016457043,0.057630857,0.987777054,7.026741699,2.682332031,3.504089355,0.0,0.21,-1.0,0.0,0.504,6.272003468603337,2.8141703707545287,7.027028519230786,2.682258223895113,3.503891663491851,-4.471670587224638,1.5522590190323027,-0.09452895719869019,4.733428556851478,4.734372358250472,160.85648653903172,1
