t_start,t_end,N,mean_speed_3d_mps,mean_speed_xy_mps,mean_forward_speed_mps,rms_forward_speed_mps,rms_lat_speed_mps,lat_ratio,heading_std_deg,progress_m,forward_span_m,lateral_span_m,straightness,principal_dir_x,principal_dir_y,phi_max_deg,theta_std_deg,roll_warn,is_longitudinal,quality_score
115.02006682,120.02006682,475,4.185969876713028,4.143188104978041,4.114167885398645,4.307009004709773,0.5199997211958022,0.12073337219104381,6.515735206456116,19.64265915888891,19.64265915888891,0.9787395296084642,1.0,0.8708979469485272,0.4914639010149578,15.450569523882432,3.559881120532983,False,True,1.013773637218743
15.02006682,20.02006682,483,4.5457137927723394,4.537463052398971,4.486076547261572,4.4971799366176874,0.6810261022680746,0.1514340346319947,8.577965034347985,21.781867557105645,21.781867557105645,1.333273640374578,1.0,-0.9964159427933688,0.08458882282667171,32.852006614116185,4.4121649781814325,True,True,1.3120986073307825
117.52006682,122.52006682,499,4.44047894976305,4.415800883918717,4.351649116118888,4.400329598593285,0.7254868389192264,0.16487102219596297,10.097735388795638,21.554130613069468,21.554130613069468,1.5110430812184776,1.0,0.9652120678354132,0.26146828508422537,31.915444094005917,6.408374275090768,True,True,1.5043866054674526
112.52006682,117.52006682,435,3.993214461537407,3.9563287272928807,3.9043714835753454,4.633176071693296,0.6901449255940499,0.14895719802459856,11.701162365880423,17.164558352649067,17.164558352649067,1.0597645855029294,1.0,0.8027409810516496,0.5963278606104491,13.390193731861213,4.205198636490755,False,True,1.616987830661838
25.02006682,30.02006682,365,5.800043242315251,5.786814124282622,5.657886388588324,8.999502860448796,1.3728586887225867,0.15254828072293358,12.270833142339532,21.133567167185717,21.133567167185717,2.0785958609716664,1.0,0.9345248154534264,0.35589797597308626,26.995832268475954,1.6594080349625502,True,True,1.684728156402754
150.02006682,155.02006682,233,7.620868762150232,7.576434507900798,7.443125724583658,10.304755123454248,1.9644114843067273,0.19063155414878394,11.525656356808573,20.724506637548,20.724506637548,1.673704892229099,1.0,-0.9108683920819639,0.4126969497173657,36.571586221116085,4.763066630263917,True,True,1.7244602981272092
50.02006682,55.02006682,405,4.963445558891038,4.945062749192,4.790849880600301,6.347769263282761,1.1682377342590984,0.18403909874552402,14.701859475773508,19.82850126873188,19.82850126873188,2.2388997981703316,1.0,-0.9926128975525061,0.1213245054076792,26.05396908380088,5.235098468314172,True,True,2.022303243813923
152.52006682,157.52006682,363,5.123130534062588,5.052318845014477,4.87374269674732,6.22968134423344,1.8415829430952881,0.2956143085552788,14.767204596777606,19.051363475949778,19.051363475949778,2.160003704520228,1.0,-0.9298661470060482,0.36789801392794513,36.571586221116085,10.278416276451622,True,True,2.363563385343597
2.52006682,7.52006682,314,5.629172184310454,5.6075631221075914,5.33520620755238,12.512269368368852,1.5946545188171535,0.12744726570932502,18.71383405016559,16.374513171505942,16.374513171505942,0.9166866313836421,1.0,0.9209690293375856,-0.3896357876286332,27.803749436318093,2.255660197428528,True,False,2.253725202144534
65.02006682,70.02006682,448,4.903053827694028,4.6958321168711645,4.568211130722432,6.22034486988285,1.1207127318874748,0.1801689062794008,17.686134596763672,20.87015019586327,20.87015019586327,2.2711625752539617,1.0,0.9779198560610372,-0.20898027447957976,11.398835339385636,21.940261857041662,False,False,2.3091201785145694
12.52006682,17.52006682,481,4.374244544225516,4.361223331525484,4.197981384923664,4.219326866796159,1.1691750960002016,0.27709991022525016,15.835945178340852,20.298109935731542,20.298109935731542,2.6005949992646777,1.0,-0.9137632003678643,0.4062472321794677,10.186543003799878,4.194070181493362,False,False,2.4148942485098357
62.52006682,67.52006682,499,4.36581540141354,4.3519613977260265,4.147608197498572,4.165345721743599,1.328836494897555,0.3190218972607413,15.980423777251099,20.482781568156298,20.482781568156298,2.486091317732461,1.0,0.8279474263061399,-0.560805723288412,32.81948980712944,4.933966446773087,True,False,2.555108069507334
165.02006682,170.02006682,344,6.277762214780716,6.091329738646574,5.88408917642995,8.672659281576205,2.1923594520956646,0.2527897592786807,19.690265159022385,19.841448673632456,19.94565105669243,2.7145774863373497,0.9947756840444167,0.7890356985758991,0.6143473499355582,10.077492750534521,12.28542288988724,False,False,2.7300079517160727
162.52006682,167.52006682,259,6.803989220327003,6.604965843042315,6.400886032591937,11.40313408119309,1.908798203781946,0.16739241950422035,22.337403591213572,19.058671878002702,19.058671878002702,1.164085833723843,1.0,0.972942933530641,0.23104555415067113,8.790592959743336,12.069419969817739,False,False,2.7359176176340188
10.02006682,15.02006682,481,4.503071768594281,4.487098425186088,4.2481305472793,4.300148030014639,1.5992403384931482,0.3719035547917414,16.94493020670518,20.305810391442524,20.31804010313335,3.334997656816483,0.9993980860541298,-0.8213642952058172,0.5704039748818823,28.24507943495149,3.138016851971997,True,False,2.8105046420186772
147.52006682,152.52006682,126,13.021780324639709,12.986625394621365,11.922881811251298,18.027917460903236,11.063496222708222,0.613686869085206,10.501335537866058,17.567470093391947,17.567470093391947,3.587080916512366,1.0,-0.9666271521291028,0.2561873313940025,170.23264476573743,7.001974917124911,True,False,2.8911941610422236
