time,Throttle,Aileron,Elevator,Rudder,Mode,x,y,z,x_s,y_s,z_s,vx,vy,vz,speed_xy,speed_3d,chi_deg,quat_x,quat_y,quat_z,quat_w,phi_deg,theta_deg
0.02006682,0.51,-0.002,-0.364,0.0,1.0,2.523025635,3.312917725,0.182658234,2.523042325167833,3.312898014454546,0.1825950773076923,3.8097370651260043,2.173884016715698,0.5928647197839931,4.386327418641576,4.426212466600697,29.70962581224156,-0.023547109,-0.023911445,0.234748002,0.971476793,-3.268377055946668,-2.028898213553026
0.0303418,0.51,-0.002,-0.364,0.0,1.0,2.562087158,3.335147461,0.188518265,2.5620505797342656,3.335139158461539,0.18860041415384612,3.8641286399764985,2.19834173752983,0.5800443059206187,4.445694157412574,4.483374614961728,29.635984136416834,-0.018768849,-0.02522736,0.236645499,0.971087128,-2.775991456210105,-2.298911056979139
0.040388487,0.51,-0.002,-0.364,0.0,1.0,2.601269775,3.357370361,0.194441757,2.6011882920815843,3.3574065195734266,0.1944979718601398,3.9041605645696773,2.218609425017406,0.5804630679292427,4.490511941273187,4.527873106431641,29.608182396095145,-0.017472182,-0.02646746,0.236654152,0.971076211,-2.665455206479015,-2.4721696188632736
0.050154163,0.51,-0.002,-0.364,0.0,1.0,2.64036792,3.379670654,0.200304214,2.6403996780466192,3.379691297312354,0.20036499697552443,3.9305887121809944,2.234301125461004,0.5912153104676486,4.5212419912631265,4.559732962234994,29.615602149280853,-0.01608901,-0.02774856,0.237358216,0.970892498,-2.548305635473684,-2.6505324363912544
0.060108712,0.51,-0.002,-0.364,0.0,1.0,2.679375,3.401942871,0.206461075,2.6796289534662,3.401984691200466,0.20627873604895103,3.9441689560859023,2.245030885143203,0.6093953381936195,4.538351289774584,4.579082343397064,29.64864077299877,-0.0132337,-0.028983197,0.238291884,0.970670811,-2.2668368522726996,-2.8636502721324213
0.070078125,0.51,-0.002,-0.364,0.0,1.0,2.718737549,3.424281494,0.212515167,2.7188203341771655,3.4242779007599173,0.21231643562937152,3.9456571695598655,2.2504127503465865,0.6320974557649414,4.542308669236565,4.58607841627312,29.698352487729334,-0.012463884,-0.030670041,0.238878947,0.970484849,-2.2294109498096635,-3.0710860875115253
0.080656726,0.51,-0.002,-0.364,0.0,1.0,2.758226563,3.446668457,0.218273468,2.7578022120489605,3.4465536602540903,0.21869309140559534,3.909152128571502,2.2344394506296807,0.6507773185513901,4.502686978110446,4.549472622314186,29.751932648720487,-0.015836345,-0.032716407,0.237514873,0.970703624,-2.6571154322050945,-3.209849084579751
0.090138795,0.51,-0.002,-0.364,0.0,1.0,2.797017822,3.468888428,0.225163269,2.7966522767156277,3.4688056447342763,0.2253612375617725,3.894059013092044,2.231303130199128,0.6754883547406653,4.488029551627285,4.538578386859707,29.812789847586075,-0.010343495,-0.033112648,0.239129518,0.970367781,-2.061589014402001,-3.400553906272131
0.099909585,0.51,-0.002,-0.364,0.0,1.0,2.835760254,3.491102295,0.231608688,2.835427189811198,3.4910471954359084,0.2322483763240103,3.8934155628662848,2.2347528475587093,0.6978443927466139,4.489187569576609,4.543103766295575,29.85507471087134,-0.010876577,-0.036256235,0.238574433,0.970386223,-2.2058835104800583,-3.7369216359766697
0.109692696,0.51,-0.002,-0.364,0.0,1.0,2.873446289,3.512995117,0.239677002,2.874107559631712,3.513271057018659,0.23929920701631802,3.901214506124162,2.2407356725282317,0.7133590409544032,4.4989299813326875,4.555134695949783,29.871712945378366,-0.00420651,-0.038435888,0.240317474,0.969923969,-1.530206576175666,-4.159773625907346
