# t V alpha gamma Q delta_T delta_e
3.87500000 34.27641899 -0.09097013 -1.84733595 -0.80298554 6.42284350 0.08046727
3.93750000 34.78283117 -0.08702103 -1.89855246 -0.72458193 6.37798444 0.07661590
4.00000000 35.27084324 -0.08316875 -1.94487423 -0.64870872 6.33828497 0.07302402
4.06250000 35.74039590 -0.07952280 -1.98643040 -0.57758764 6.30473762 0.06977916
4.12500000 36.19169704 -0.07618616 -2.02349142 -0.51335924 6.27822271 0.06696036
4.18750000 36.62515620 -0.07325276 -2.05646415 -0.45801837 6.25948636 0.06463631
4.25000000 37.04131171 -0.07080519 -2.08588302 -0.41335350 6.24912161 0.06286363
4.31250000 37.44075126 -0.06891279 -2.11239724 -0.38089200 6.24755291 0.06168551
4.37500000 37.82402720 -0.06763011 -2.13675451 -0.36185268 6.25502445 0.06113066
4.43750000 38.19156783 -0.06699564 -2.15978187 -0.35710682 6.27159266 0.06121259
4.50000000 38.54358684 -0.06703109 -2.18236399 -0.36714834 6.29712299 0.06192931
4.56250000 38.87999384 -0.06774090 -2.20541959 -0.39207370 6.33129110 0.06326335
4.62500000 39.20030951 -0.06911229 -2.22987657 -0.43157150 6.37358848 0.06518222
4.68750000 39.50359029 -0.07111562 -2.25664649 -0.48492199 6.42333228 0.06763916
4.75000000 39.78836769 -0.07370517 -2.28659892 -0.55100624 6.47967922 0.07057430
4.81250000 40.05260842 -0.07682027 -2.32053632 -0.62832539 6.54164321 0.07391614
4.87500000 40.29370181 -0.08038685 -2.35917010 -0.71503001 6.60811628 0.07758325
4.93750000 40.50848078 -0.08431921 -2.40309845 -0.80895992 6.67789233 0.08148629
5.00000000 40.69328237 -0.08852221 -2.45278661 -0.90769517 6.74969311 -0.08900277
5.06250000 40.67698999 0.04277493 -2.45413654 5.09191725 6.82219586 -0.08491659
5.12500000 40.53404358 0.12092905 -2.25147743 3.38713129 6.89406196 -0.08088767
5.18750000 40.40594829 0.08131059 -2.02502916 2.70767293 6.96396586 -0.07701417
5.25000000 40.50678112 0.07364993 -1.84312303 2.92847951 7.03062365 -0.07339046
5.31250000 40.64270314 0.07660292 -1.66520771 2.84301163 7.09282057 -0.07010482
5.37500000 40.78461517 0.07343343 -1.48885115 2.70364325 7.14943686 -0.06723732
5.43750000 40.93241238 0.07047471 -1.31940835 2.63412350 7.19947129 -0.06485783
5.50000000 41.06373436 0.06894058 -1.15523302 2.57490588 7.24206182 -0.06302430
5.56250000 41.15978466 0.06773744 -0.99486860 2.52149830 7.27650296 -0.06178142
5.62500000 41.20728977 0.06698365 -0.83776637 2.48438473 7.30225935 -0.06115947
5.68750000 41.19435520 0.06685928 -0.68310511 2.46218138 7.31897535 -0.06117360
5.75000000 41.11081735 0.06733166 -0.52996845 2.45339021 7.32648033 -0.06182347
5.81250000 40.94860692 0.06838574 -0.37751331 2.45771397 7.32478959 -0.06309324
5.87500000 40.70154691 0.07001028 -0.22494036 2.47398805 7.31410094 -0.06495198
5.93750000 40.36537818 0.07216638 -0.07151231 2.50050725 7.29478702 -0.06735440
6.00000000 39.93792718 0.07479738 0.08341146 2.53532609 7.26738346 -0.07024197
6.06250000 39.41930288 0.07783248 0.24035561 2.57625050 7.23257346 -0.07354432
6.12500000 38.81212472 0.08118662 0.39971508 2.62093521 7.19116878 -0.07718101
6.18750000 38.12174298 0.08476273 0.56174659 2.66702143 7.14408805 -0.08106343
6.25000000 37.35639347 0.08845472 0.72656787 2.71226061 7.09233257 -0.08509698
6.31250000 36.52723438 0.09215068 0.89416478 2.75463021 7.03696047 -0.08918339
6.37500000 35.64822219 0.09573673 1.06440497 2.79243246 6.97905968 -0.09322309
6.43750000 34.73579988 0.09910139 1.23705690 2.82436351 6.91972052 -0.09711766
6.50000000 33.80839440 0.10214067 1.41181180 2.84954551 6.86000849 -0.10077222
6.56250000 32.88574579 0.10476344 1.58830619 2.86751844 6.80093795 -0.10409771
6.62500000 31.98811272 0.10689703 1.76614253 2.87819306 6.74344738 -0.10701312
6.68750000 31.13541392 0.10849230 1.94490602 2.88177161 6.68837676 -0.10944742
6.75000000 30.34637047 0.10952741 2.12417664 2.87864710 6.63644766 -0.11134128
6.81250000 29.63771016 0.11000931 2.30353637 2.86929571 6.58824651 -0.11264858
6.87500000 29.02348554 0.10997208 2.48257287 2.85417773 6.54421148 -0.11333746
6.93750000 28.51454401 0.10947144 2.66088091 2.83366170 6.50462323 -0.11339113
7.00000000 28.11817519 0.10857598 2.83806347 2.80798306 6.46959980 0.06172463
7.06250000 27.89516159 0.02243783 2.98441554 -0.45845762 6.43909576 0.06292979
7.12500000 27.89348847 -0.06533171 3.02660683 -0.76032520 6.41290555 0.06472789
7.18750000 27.89131911 -0.08814724 3.01217773 -0.39681073 6.39067105 0.06707513
7.25000000 27.87059761 -0.08512547 2.98994882 -0.23550732 6.37189305 0.06991432
7.31250000 27.84030331 -0.08236786 2.97165498 -0.26656937 6.35594645 0.07317629
7.37500000 27.79955705 -0.08415086 2.95393059 -0.34798134 6.34209867 0.07678155
7.43750000 27.74508574 -0.08801946 2.93325292 -0.42297281 6.32953092 0.08064228
7.50000000 27.67389811 -0.09223949 2.90848435 -0.48975618 6.31736179 0.08466440
7.56250000 27.58354669 -0.09642292 2.87955098 -0.55521840 6.30467240 0.08874992
7.62500000 27.47179155 -0.10060928 2.84651467 -0.62107141 6.29053278 0.09279929
7.68750000 27.33648243 -0.10479796 2.80940832 -0.68557040 6.27402848 0.09671386
7.75000000 27.17567270 -0.10890451 2.76831496 -0.74641862 6.25428704 0.10039825
7.81250000 26.98777739 -0.11281812 2.72342342 -0.80172186 6.23050341 0.10376269
7.87500000 26.77169267 -0.11643398 2.67503376 -0.84996681 6.20196386 0.10672521
7.93750000 26.52687223 -0.11965947 2.62354313 -0.88990034 6.16806766 0.10921363
8.00000000 26.25336851 -0.12241343 2.56942937 -0.92051303 6.12834604 -0.06336561
8.06250000 25.97994580 -0.04752405 2.53871442 1.95559569 6.08247796 -0.06199425
8.12500000 25.73059227 0.03557691 2.59603914 2.32665688 6.03030214 -0.06123864
8.18750000 25.46648917 0.06191626 2.70612283 2.00428362 5.97182532 -0.06111718
8.25000000 25.25339011 0.05956090 2.82605912 1.77863368 5.90722615 -0.06163283
8.31250000 25.11903850 0.05333510 2.94140542 1.72888190 5.83685498 -0.06277303
8.37500000 25.05858729 0.05084857 3.05283248 1.75957207 5.76122923 -0.06451000
8.43750000 25.06369270 0.05160622 3.16369479 1.80721923 5.68102460 -0.06680142
8.50000000 25.12950227 0.05393885 3.27604852 1.85499598 5.59706225 -0.06959145
8.56250000 25.25320870 0.05701487 3.39075114 1.90500875 5.51029229 -0.07281213
8.62500000 25.43208580 0.06065725 3.50823080 1.96089090 5.42177391 -0.07638498
8.68750000 25.66255368 0.06487253 3.62887714 2.02346067 5.33265260 -0.08022295
8.75000000 25.93991935 0.06963113 3.75310101 2.09161456 5.24413517 -0.08423253
8.81250000 26.25831188 0.07483964 3.88128408 2.16364203 5.15746290 -0.08831603
8.87500000 26.61061335 0.08037015 4.01373147 2.23776660 5.07388364 -0.09237396
8.93750000 26.98838171 0.08608361 4.15064679 2.31218158 4.99462358 -0.09630745
9.00000000 27.38182050 0.09183897 4.29211893 2.38497026 4.92085909 -0.01275420
9.06250000 27.81263207 0.05598610 4.42406934 0.87188651 4.85368967 -0.01615666
9.12500000 28.34207443 0.01767276 4.51029291 0.76744994 4.79411238 -0.01916547
9.18750000 28.89926446 0.01086705 4.57267505 1.01781294 4.74299849 -0.02170733
9.25000000 29.44670616 0.01698952 4.63563151 1.17060830 4.70107295 -0.02372030
9.31250000 29.97460030 0.02261740 4.70517387 1.21900864 4.66889701 -0.02515534
9.37500000 30.48271070 0.02557119 4.77917606 1.23650435 4.64685467 -0.02597748
9.43750000 30.97122756 0.02715833 4.85539703 1.25024152 4.63514302 -0.02616670
9.50000000 31.43872480 0.02812445 4.93282129 1.25709529 4.63376694 -0.02571838
9.56250000 31.88332800 0.02849270 5.01081856 1.25152798 4.64253811 -0.02464344
9.62500000 32.30354849 0.02816281 5.08866507 1.23233921 4.66107851 -0.02296809
9.68750000 32.69840790 0.02712191 5.16554596 1.20028091 4.68882820 -0.02073313
9.75000000 33.06738420 0.02541357 5.24064884 1.15630403 4.72505731 -0.01799301
9.81250000 33.41039888 0.02309762 5.31320865 1.10143981 4.76888190 -0.01481451
9.87500000 33.72781675 0.02024352 5.38252502 1.03700433 4.81928332 -0.01127506
9.93750000 34.02041819 0.01693288 5.44797865 0.96462453 4.87513063 -0.00746090
10.00000000 34.28934325 0.01325873 5.50904907 0.88616895 4.93520552 -0.00346496
10.06250000 34.53601930 0.00932269 5.56533004 0.80367914 4.99822919 0.00061540
10.12500000 34.76208135 0.00523199 5.61654126 0.71931115 5.06289051 0.00468077
10.18750000 34.96929078 0.00109663 5.66253613 0.63527679 5.12787473 0.00863209
10.25000000 35.15945711 -0.00297336 5.70330596 0.55378367 5.19189230 0.01237310
