# t V alpha gamma Q delta_T delta_e
19.87500000 36.19305311 0.02385196 12.06362047 1.15145677 6.35209410 -0.01430302
19.93750000 36.30358494 0.02074973 12.13602027 1.07675337 6.40247558 -0.01071654
20.00000000 36.38249085 0.01723187 12.20388941 0.99443965 6.45785661 -0.00686896
20.06250000 36.43292064 0.01339310 12.26673437 0.90668824 6.51708285 -0.00285402
20.12500000 36.45813515 0.00933525 12.32419448 0.81578755 6.57893931 0.00123046
20.18750000 36.46138802 0.00516467 12.37604958 0.72407467 6.64217820 0.00528496
20.25000000 36.44582606 0.00098942 12.42222372 0.63387234 6.70554732 0.00921070
20.31250000 36.41440973 -0.00308338 12.46278488 0.54743026 6.76781835 0.01291202
20.37500000 36.36985267 -0.00695015 12.49794117 0.46687122 6.82781432 0.01629874
20.43750000 36.31457624 -0.01051336 12.52803355 0.39414230 6.88443560 0.01928836
20.50000000 36.25067435 -0.01368375 12.55352555 0.33097177 6.93668384 0.02180803
20.56250000 36.17988390 -0.01638236 12.57499020 0.27883184 6.98368323 0.02379635
20.62500000 36.10355701 -0.01854227 12.59309458 0.23890761 7.02469866 0.02520490
20.68750000 36.02263326 -0.02011010 12.60858234 0.21207226 7.05915027 0.02599933
20.75000000 35.93761173 -0.02104711 12.62225461 0.19886902 7.08662411 0.02616032
20.81250000 35.84852496 -0.02133006 12.63494973 0.19949962 7.10687866 0.02568391
20.87500000 35.75491797 -0.02095163 12.64752210 0.21381966 7.11984705 0.02458174
20.93750000 35.65583701 -0.01992064 12.66082075 0.24134084 7.12563501 0.02288064
21.00000000 35.54983274 -0.01826174 12.67566790 0.28124009 7.12451451 0.02062207
21.06250000 35.43498266 -0.01601494 12.69283803 0.33237594 7.11691339 0.01786106
21.12500000 35.30893678 -0.01323465 12.71303792 0.39331249 7.10340114 0.01466487
21.18750000 35.16898938 -0.00998849 12.73688811 0.46235112 7.08467135 0.01111138
21.25000000 35.01217806 -0.00635570 12.76490632 0.53757049 7.06152109 0.00728717
21.31250000 34.83540910 -0.00242534 12.79749335 0.61687488 7.03482788 0.00328541
21.37500000 34.63560582 0.00170582 12.83492200 0.69805048 7.00552479 -0.00079640
21.43750000 34.40987370 0.00593560 12.87732958 0.77882897 6.97457432 -0.00485880
21.50000000 34.15567348 0.01015891 12.92471433 0.85695651 6.94294167 -0.00880282
21.56250000 33.87099084 0.01427027 12.97693629 0.93026583 6.91156811 -0.01253237
21.62500000 33.55448956 0.01816644 13.03372259 0.99674805 6.88134507 -0.01595657
21.68750000 33.20563462 0.02174902 13.09467720 1.05462041 6.85308971 -0.01899200
21.75000000 32.82477282 0.02492687 13.15929483 1.10238580 6.82752247 -0.02156470
21.81250000 32.41316109 0.02761845 13.22697839 1.13888033 6.80524712 -0.02361199
21.87500000 31.97293747 0.02975386 13.29705913 1.16330585 6.78673405 -0.02508398
21.93750000 31.50703490 0.03127663 13.36881867 1.17524546 6.77230692 -0.02594482
22.00000000 31.01904414 0.03214512 13.44151167 1.17466171 6.76213319 0.06109293
22.06250000 30.53596248 -0.01573304 13.49643052 -0.71853553 6.75621878 0.06150193
22.12500000 30.10167315 -0.05924683 13.48993768 -0.75269499 6.75440686 0.06253866
22.18750000 29.68067293 -0.06541553 13.45586947 -0.52831506 6.75638096 0.06417788
22.25000000 29.28144298 -0.06204985 13.42121054 -0.48381490 6.76167225 0.06637963
22.31250000 28.90435605 -0.06140804 13.38863297 -0.53572691 6.76967076 0.06909028
22.37500000 28.54802360 -0.06341344 13.35481696 -0.60020007 6.77964048 0.07224378
22.43750000 28.21279753 -0.06629443 13.31790969 -0.66060718 6.79073768 0.07576330
22.50000000 27.90001030 -0.06940098 13.27741133 -0.72173657 6.80203229 0.07956309
22.56250000 27.61130709 -0.07269447 13.23314756 -0.78643164 6.81253153 0.08355057
22.62500000 27.34846444 -0.07619110 13.18493909 -0.85386093 6.82120554 0.08762858
22.68750000 27.11340551 -0.07983645 13.13262951 -0.92211495 6.82701404 0.09169777
22.75000000 26.90821104 -0.08353997 13.07614358 -0.98942696 6.82893361 0.09565899
22.81250000 26.73508411 -0.08720826 13.01550501 -1.05429018 6.82598483 0.09941574
22.87500000 26.59628306 -0.09075477 12.95083299 -1.11534243 6.81725856 0.10287647
22.93750000 26.49403705 -0.09409981 12.88233498 -1.17131457 6.80194078 0.10595688
23.00000000 26.43044942 -0.09717013 12.81030015 -1.22103758 6.77933540 0.10858190
23.06250000 26.40739274 -0.09989924 12.73509289 -1.26346318 6.74888430 0.11068759
23.12500000 26.42640075 -0.10222827 12.65714534 -1.29768060 6.71018432 0.11222263
23.18750000 26.48856486 -0.10410656 12.57694904 -1.32292906 6.66300063 0.11314963
23.25000000 26.59444338 -0.10549219 12.49504562 -1.33860923 6.60727614 0.11344600
23.31250000 26.74399140 -0.10635251 12.41201681 -1.34429543 6.54313673 0.11310452
23.37500000 26.93651777 -0.10666479 12.32847380 -1.33974855 6.47089221 0.11213351
23.43750000 27.17067317 -0.10641709 12.24504589 -1.32492925 6.39103286 0.11055664
23.50000000 27.44447075 -0.10560926 12.16236859 -1.30001014 6.30422165 0.10841230
23.56250000 27.75533789 -0.10425394 12.08107096 -1.26538572 6.21128235 0.10575277
23.62500000 28.10019497 -0.10237741 12.00176232 -1.22167862 6.11318376 0.10264282
23.68750000 28.47555544 -0.10002011 11.92501845 -1.16974083 6.01102042 0.09915824
23.75000000 28.87763978 -0.09723660 11.85136735 -1.11064900 5.90599028 0.09538392
23.81250000 29.30249599 -0.09409490 11.78127497 -1.04569281 5.79936976 0.09141183
23.87500000 29.74611960 -0.09067514 11.71513132 -0.97635620 5.69248695 0.08733873
23.93750000 30.20456698 -0.08706762 11.65323741 -0.90429109 5.58669342 0.08326387
24.00000000 30.67405718 -0.08337024 11.59579357 -0.83128394 5.48333538 0.07928654
24.06250000 31.15105900 -0.07968566 11.54288984 -0.75921540 5.38372487 0.07550363
24.12500000 31.63236081 -0.07611815 11.49449878 -0.69001404 5.28911166 0.07200732
24.18750000 32.11512213 -0.07277040 11.45047135 -0.62560534 5.20065646 0.06888278
24.25000000 32.59690610 -0.06974036 11.41053615 -0.56785743 5.11940624 0.06620616
24.31250000 33.07569292 -0.06711835 11.37430220 -0.51852576 5.04627203 0.06404265
24.37500000 33.54987418 -0.06498439 11.34126545 -0.47919857 4.98200988 0.06244499
24.43750000 34.01822861 -0.06340594 11.31081883 -0.45124566 4.92720533 0.06145208
24.50000000 34.47987979 -0.06243603 11.28226575 -0.43577220 4.88226190 0.06108812
24.56250000 34.93423694 -0.06211183 11.25483652 -0.43357969 4.84739364 0.06136199
24.62500000 35.38092047 -0.06245370 11.22770742 -0.44513515 4.82262211 0.06226700
24.68750000 35.81967441 -0.06346471 11.20002165 -0.47054953 4.80777777 0.06378112
24.75000000 36.25026875 -0.06513058 11.17091181 -0.50956574 4.80250576 0.06586743
24.81250000 36.67239530 -0.06742016 11.13952315 -0.56155617 4.80627584 0.06847513
24.87500000 37.08556151 -0.07028620 11.10503700 -0.62552956 4.81839639 0.07154066
24.93750000 37.48898729 -0.07366666 11.06669386 -0.70014667 4.83803204 0.07498935
25.00000000 37.88151063 -0.07748622 11.02381553 -0.78374456 4.86422441 -0.09579577
25.06250000 38.15400749 0.04330027 11.02611716 4.49746081 4.89591566 -0.09184015
25.12500000 38.20305095 0.12343400 11.20579362 3.43443360 4.93197409 -0.08777309
25.18750000 38.09536466 0.09910683 11.41964050 2.69835851 4.97122131 -0.08369369
25.25000000 38.06928572 0.08692627 11.59999728 2.73992419 5.01246013 -0.07970134
25.31250000 38.01647845 0.08675773 11.76983891 2.69156459 5.05450279 -0.07589331
25.37500000 37.90190665 0.08434331 11.93612253 2.55891726 5.09619852 -0.07236238
25.43750000 37.72988033 0.08074432 12.09588340 2.45061633 5.13646005 -0.06919458
25.50000000 37.49852612 0.07776780 12.24890080 2.36108307 5.17428822 -0.06646709
25.56250000 37.20455884 0.07527858 12.39613131 2.27918600 5.20879424 -0.06424636
25.62500000 36.84767580 0.07315380 12.53824145 2.20765702 5.23921903 -0.06258651
25.68750000 36.42928933 0.07148980 12.67586435 2.14874042 5.26494916 -0.06152797
25.75000000 35.95169736 0.07035408 12.80973764 2.10262287 5.28552903 -0.06109653
25.81250000 35.41796345 0.06976973 12.94064026 2.06916343 5.30066900 -0.06130271
25.87500000 34.83182521 0.06974387 13.06935075 2.04802464 5.31024940 -0.06214148
25.93750000 34.19761663 0.07026852 13.19662832 2.03850368 5.31432008 -0.06359241
26.00000000 33.52026165 0.07131770 13.32319306 2.03956386 5.31309586 -0.06562014
26.06250000 32.80532090 0.07284801 13.44970665 2.04991392 5.30694775 -0.06817527
26.12500000 32.05906337 0.07480032 13.57675687 2.06807865 5.29639028 -0.07119555
26.18750000 31.28854152 0.07710173 13.70484664 2.09247142 5.28206532 -0.07460739
26.25000000 30.50164897 0.07966800 13.83438738 2.12147008 5.26472267 -0.07832765
26.31250000 29.70714101 0.08240667 13.96569663 2.15349041 5.24519806 -0.08226571
26.37500000 28.91460133 0.08522084 14.09899946 2.18705125 5.22438899 -0.08632561
26.43750000 28.13434340 0.08801352 14.23443300 2.22082638 5.20322916 -0.09040843
26.50000000 27.37724129 0.09069262 14.37205308 2.25367912 5.18266197 -0.09441470
26.56250000 26.65449112 0.09317615 14.51184203 2.28467677 5.16361388 -0.09824680
26.62500000 25.97731163 0.09539733 14.65371663 2.31308449 5.14696832 -0.10181138
26.68750000 25.35659770 0.09730900 14.79753563 2.33834010 5.13354065 -0.10502158
26.75000000 24.80254545 0.09888645 14.94310654 2.36001417 5.12405496 -0.10779918
26.81250000 24.32427094 0.10012787 15.09019183 2.37776206 5.11912324 -0.11007652
26.87500000 23.92944583 0.10105183 15.23851505 2.39127603 5.11922743 -0.11179810
26.93750000 23.62397450 0.10169133 15.38776743 2.40024611 5.12470480 -0.11292198
27.00000000 23.41173522 0.10208528 15.53761523 2.40433750 5.13573707 0.06111214
27.06250000 23.32885882 0.03637906 15.66813623 -0.02279604 5.15234353 0.06125058
27.12500000 23.40612188 -0.04576625 15.72650756 -0.54949066 5.17437834 0.06202287
27.18750000 23.50966974 -0.08268653 15.73281035 -0.37647117 5.20153208 0.06341022
27.25000000 23.60156488 -0.08873096 15.72173136 -0.17569608 5.23333755 0.06537880
27.31250000 23.68619260 -0.08575995 15.71012622 -0.11096552 5.26917966 0.06788067
27.37500000 23.76661642 -0.08410470 15.70067425 -0.13939906 5.30830921 0.07085486
27.43750000 23.84221633 -0.08542788 15.69118118 -0.19963879 5.34986018 0.07422891
27.50000000 23.91093784 -0.08853897 15.67950688 -0.26282548 5.39287018 0.07792061
27.56250000 23.97035695 -0.09233056 15.66460426 -0.32359390 5.43630353 0.08184002
27.62500000 24.01804597 -0.09633278 15.64611849 -0.38383238 5.47907639 0.08589164
27.68750000 24.05159295 -0.10043409 15.62393467 -0.44481729 5.52008333 0.08997676
27.75000000 24.06856990 -0.10460129 15.59799554 -0.50593047 5.55822482 0.09399584
27.81250000 24.06657429 -0.10877291 15.56828946 -0.56555780 5.59243469 0.09785097
27.87500000 24.04332958 -0.11285539 15.53488129 -0.62191302 5.62170723 0.10144821
27.93750000 23.99680032 -0.11674411 15.49793191 -0.67336772 5.64512296 0.10469992
28.00000000 23.92529572 -0.12033805 15.45770015 -0.71850756 5.66187260 -0.06700605
28.06250000 23.85111052 -0.05562135 15.43527574 1.75827656 5.67127869 -0.06467273
28.12500000 23.80313544 0.02425458 15.48585311 2.22978204 5.67281410 -0.06288990
28.18750000 23.75467176 0.05683383 15.58675716 1.99838669 5.66611724 -0.06170098
28.25000000 23.75159595 0.05896731 15.70163947 1.76047853 5.65100337 -0.06113495
28.31250000 23.82160890 0.05313319 15.81399326 1.66676352 5.62747184 -0.06120561
28.37500000 23.96276036 0.04929616 15.92175164 1.66704136 5.59570909 -0.06191122
28.43750000 24.16545967 0.04883191 16.02744514 1.70032439 5.55608711 -0.06323459
28.50000000 24.42174806 0.05049121 16.13342006 1.73992287 5.50915773 -0.06514349
28.56250000 24.72577620 0.05321196 16.24095302 1.78224643 5.45564247 -0.06759141
28.62500000 25.07235774 0.05658465 16.35070642 1.83041556 5.39641855 -0.07051869
28.68750000 25.45591224 0.06053972 16.46318467 1.88654982 5.33250107 -0.07385402
28.75000000 25.87002658 0.06506188 16.57890105 1.95058988 5.26502196 -0.07751615
28.81250000 26.30733474 0.07008901 16.69836803 2.02124859 5.19520612 -0.08141583
28.87500000 26.75947784 0.07551530 16.82204433 2.09681853 5.12434536 -0.08545806
28.93750000 27.21707317 0.08121562 16.95029441 2.17543239 5.05377065 -0.08954435
29.00000000 27.66971684 0.08705981 17.08336451 2.25504832 4.98482350 -0.00630868
29.06250000 28.13942753 0.05079400 17.20698812 0.72287674 4.91882695 -0.01018576
29.12500000 28.69058736 0.01271415 17.28432244 0.63927199 4.85705700 -0.01381467
29.18750000 29.25754949 0.00692262 17.33839505 0.90936305 4.80071512 -0.01710700
29.25000000 29.80612063 0.01388939 17.39422690 1.07475572 4.75090245 -0.01998252
29.31250000 30.32680378 0.02016597 17.45766999 1.13737074 4.70859634 -0.02237119
29.37500000 30.81895705 0.02386176 17.52651204 1.17333785 4.67462975 -0.02421479
29.43750000 31.28244531 0.02636230 17.59863627 1.20762196 4.64967402 -0.02546841
29.50000000 31.71569196 0.02834408 17.67316387 1.23532628 4.63422538 -0.02610150
29.56250000 32.11681316 0.02976624 17.74952556 1.25040867 4.62859557 -0.02609865
29.62500000 32.48441525 0.03049770 17.82700464 1.25141844 4.63290673 -0.02545992
29.68750000 32.81771064 0.03050284 17.90476440 1.23867305 4.64709062 -0.02420088
29.75000000 33.11647395 0.02979874 17.98194458 1.21261839 4.67089232 -0.02235219
29.81250000 33.38103934 0.02841750 18.05770348 1.17383362 4.70387822 -0.01995890
29.87500000 33.61230152 0.02640294 18.13123622 1.12325223 4.74544802 -0.01707933
29.93750000 33.81168038 0.02381394 18.20179426 1.06217750 4.79485058 -0.01378363
